net,length_um
sha256cu.msg_scheduler.mreg_14\[19\],122.58
_02196_,122.3
clknet_leaf_24_clk,122.26
_05132_,122.03
_05280_,122.01
_05314_,121.83
_04157_,121.8
clknet_leaf_40_clk,121.76
_01547_,121.74
clknet_leaf_25_clk,121.6
_01606_,121.475
sha256cu.m_pad_pars.add_512_block\[6\],121.11
_02272_,120.84
net193,120.675
_04202_,120.56
_01643_,120.36
sha256cu.msg_scheduler.mreg_14\[17\],120.32
_06343_,120.26
_02931_,120.22
_04977_,119.855
_06289_,119.8
clknet_leaf_56_clk,119.63
sha256cu.msg_scheduler.mreg_14\[4\],119.34
net11,119.32
net53,119.3
clknet_leaf_22_clk,119.3
clknet_leaf_59_clk,119.17
_01515_,119.08
net20,119.08
net123,119
_02971_,118.58
_05318_,118.48
_01992_,118.24
sha256cu.msg_scheduler.mreg_1\[23\],118.09
sha256cu.msg_scheduler.mreg_1\[22\],118.08
clknet_leaf_47_clk,117.7
_04785_,117.68
clknet_leaf_119_clk,117.6
_04954_,117.36
clknet_leaf_35_clk,116.85
_01657_,116.7
_02811_,116.64
_06713_,116.58
_05214_,116.28
_01607_,116.08
_04982_,116.04
_06617_,116.02
net212,115.96
clknet_leaf_95_clk,115.92
_01690_,115.89
_01977_,115.74
clknet_leaf_71_clk,115.68
_05013_,115.56
_01498_,115.22
sha256cu.msg_scheduler.mreg_9\[11\],115.11
sha256cu.data_in_padd\[7\],115.1
sha256cu.msg_scheduler.mreg_14\[11\],115
_02273_,114.92
_05866_,114.63
net6,114.58
_05014_,114.48
clknet_leaf_14_clk,114.3
net187,114.26
clknet_leaf_27_clk,113.26
_02767_,113.08
_02773_,112.9
_01598_,112.87
_01705_,112.67
_06626_,112.6
sha256cu.msg_scheduler.mreg_14\[12\],112.5
net101,112.49
clknet_leaf_99_clk,112.4
_04195_,112.27
_01548_,112
sha256cu.K\[23\],111.66
_06726_,111.48
_01489_,111.46
sha256cu.msg_scheduler.mreg_14\[3\],111.46
net48,111.435
clknet_leaf_11_clk,111.415
_01626_,111.31
_03001_,111.2
_06727_,111.16
_01588_,111.11
clknet_leaf_111_clk,110.91
clknet_leaf_4_clk,110.9
sha256cu.msg_scheduler.mreg_9\[10\],110.84
_01650_,110.82
sha256cu.msg_scheduler.mreg_1\[7\],110.78
clknet_leaf_37_clk,110.66
clknet_leaf_32_clk,110.42
clknet_leaf_90_clk,110.38
net169,110.34
sha256cu.m_out_digest.e_in\[26\],110.3
sha256cu.msg_scheduler.mreg_14\[7\],110.18
sha256cu.msg_scheduler.mreg_1\[26\],109.98
clknet_leaf_0_clk,109.9
_02643_,109.6
clknet_leaf_123_clk,109.58
clknet_leaf_39_clk,109.345
_02807_,109.01
_04274_,108.96
sha256cu.msg_scheduler.mreg_14\[16\],108.95
clknet_leaf_121_clk,108.9
_05248_,108.82
_02230_,108.8
_05151_,108.74
sha256cu.msg_scheduler.mreg_1\[30\],108.725
_01603_,108.6
clknet_leaf_124_clk,108.56
_06682_,108.54
sha256cu.data_in_padd\[15\],108.34
_02930_,108.28
_02927_,108.13
_05069_,108
net72,107.955
_06718_,107.84
_01666_,107.72
sha256cu.msg_scheduler.mreg_14\[5\],107.62
_04064_,107.43
clknet_leaf_70_clk,107.4
_02851_,107.3
_04567_,107.28
_06152_,107.22
clknet_leaf_106_clk,107.08
_02384_,107.04
clknet_leaf_26_clk,107.02
_05138_,106.995
_05306_,106.66
Hash_Digest,106.52
_04973_,106.46
net152,106.36
sha256cu.m_out_digest.e_in\[17\],106.26
_04751_,106.18
_06562_,106.18
_04117_,106.14
clknet_leaf_103_clk,106.12
_04833_,106.05
_02623_,105.8
_04396_,105.44
sha256cu.msg_scheduler.mreg_14\[14\],105.41
_01525_,105.3
_01634_,105.26
_05160_,105.05
clknet_leaf_8_clk,105.02
_05136_,104.94
net218,104.66
_05288_,104.56
_06644_,104.36
_01719_,104.27
_01729_,104.26
net90,104.26
sha256cu.msg_scheduler.mreg_9\[9\],103.98
clknet_leaf_64_clk,103.9
_04221_,103.71
_04188_,103.2
net32,103.18
clknet_leaf_109_clk,103.08
sha256cu.K\[28\],103.04
_04318_,102.89
_06737_,102.85
_04685_,102.52
_04526_,102.34
sha256cu.iter_processing.w\[31\],102.18
_05428_,102.08
_04344_,101.98
_01659_,101.5
sha256cu.msg_scheduler.mreg_1\[24\],101.48
_05293_,101.27
_01543_,101.18
_04730_,101.02
clknet_leaf_114_clk,101
clknet_leaf_84_clk,100.96
_05049_,100.76
sha256cu.K\[22\],100.62
clknet_leaf_42_clk,100.62
_06144_,100.49
_01573_,100.46
_05285_,100.32
_04224_,100.25
_03725_,100.16
_05169_,100.16
net62,100.08
clknet_leaf_107_clk,99.99
clknet_leaf_120_clk,99.74
_04208_,99.7
clknet_leaf_33_clk,99.68
_06580_,99.65
_01600_,99.6
_01667_,99.58
_04490_,99.58
_06298_,99.56
sha256cu.iter_processing.w\[30\],99.44
sha256cu.m_out_digest.e_in\[13\],99.42
_03156_,99.4
_01594_,99.36
net156,99.28
_02785_,99.1
sha256cu.msg_scheduler.mreg_9\[0\],98.76
_04633_,98.74
_04700_,98.74
_04291_,98.7
_03075_,98.62
_06160_,98.52
